VERIFICACION DE DTEs DE ENERO 2026
Total folios a verificar: 187

========================================
RESUMEN
========================================
DTEs encontradas en enero 2026: 70
Con match CONFIRMED:  70
Con match DRAFT:      0
Con match REJECTED:   0
Sin ningun match:     0
Folios NO encontrados en enero: 118
========================================

--- FOLIOS NO ENCONTRADOS EN ENERO 2026 (118) ---
  Folio 17631 -> Fecha: 2025-12-03 | Tipo 33 | $298500 | PAID | Match: CONFIRMED | COMERCIAL BEST HIKE LIMITADA
  Folio 17658 -> Fecha: 2025-12-05 | Tipo 33 | $149250 | PAID | Match: CONFIRMED | COMERCIAL BEST HIKE LIMITADA
  Folio 21311 -> Fecha: 2025-12-03 | Tipo 33 | $1760252 | PAID | Match: CONFIRMED | COMERCIAL VINIMPORT SOCIEDAD ANONIMA
  Folio 21728 -> Fecha: 2025-12-31 | Tipo 33 | $94231 | UNPAID | Match: SIN MATCH | COMERCIAL VINIMPORT SOCIEDAD ANONIMA
  Folio 21729 -> Fecha: 2025-12-31 | Tipo 33 | $483678 | PAID | Match: CONFIRMED | COMERCIAL VINIMPORT SOCIEDAD ANONIMA
  Folio 21730 -> Fecha: 2025-12-31 | Tipo 33 | $295601 | PAID | Match: CONFIRMED | COMERCIAL VINIMPORT SOCIEDAD ANONIMA
  Folio 21731 -> Fecha: 2025-12-31 | Tipo 33 | $185106 | PAID | Match: CONFIRMED | COMERCIAL VINIMPORT SOCIEDAD ANONIMA
  Folio 21732 -> Fecha: 2025-12-31 | Tipo 33 | $115682 | PAID | Match: CONFIRMED | COMERCIAL VINIMPORT SOCIEDAD ANONIMA
  Folio 21733 -> Fecha: 2025-12-31 | Tipo 33 | $71761 | PAID | Match: CONFIRMED | COMERCIAL VINIMPORT SOCIEDAD ANONIMA
  Folio 21734 -> Fecha: 2025-12-31 | Tipo 33 | $31921 | PAID | Match: CONFIRMED | COMERCIAL VINIMPORT SOCIEDAD ANONIMA
  Folio 21735 -> Fecha: 2025-12-31 | Tipo 33 | $95840 | PAID | Match: CONFIRMED | COMERCIAL VINIMPORT SOCIEDAD ANONIMA
  Folio 21736 -> Fecha: 2025-12-31 | Tipo 33 | $42313 | PAID | Match: CONFIRMED | COMERCIAL VINIMPORT SOCIEDAD ANONIMA
  Folio 26736 -> Fecha: 2025-12-02 | Tipo 33 | $735045 | PAID | Match: CONFIRMED | JARA MENDEZ LIMITADA
  Folio 26737 -> Fecha: 2025-12-02 | Tipo 33 | $735045 | PAID | Match: CONFIRMED | JARA MENDEZ LIMITADA
  Folio 26749 -> Fecha: 2025-12-04 | Tipo 33 | $1319976 | PAID | Match: CONFIRMED | JARA MENDEZ LIMITADA
  Folio 26755 -> Fecha: 2025-12-05 | Tipo 33 | $1428632 | PAID | Match: CONFIRMED | JARA MENDEZ LIMITADA
  Folio 26770 -> Fecha: 2025-12-12 | Tipo 33 | $339537 | PAID | Match: CONFIRMED | JARA MENDEZ LIMITADA
  Folio 26775 -> Fecha: 2025-12-15 | Tipo 33 | $463732 | PAID | Match: CONFIRMED | JARA MENDEZ LIMITADA
